	Cleavage	Brown	Mid	Late/Larvae	Metam	Adult
Aqu2.1.14695_001	1.313630486	1.686223177	1.861054406	1.261245159	3.108599035	3.394246126
Aqu2.1.14696_001	0.895061471	0	0.258224128	0.116704773	0.251967803	1.118943182
Aqu2.1.14697_001	0.301052298	0.36175576	0.078291624	0.326767865	1.671358613	5.860453916
Aqu2.1.14698_001	0.786311961	0.752565291	0.253323201	0.156399177	0.364463732	0.099235884
Aqu2.1.14699_001	2.276820543	0	0.306375836	0	0.159005548	0.172610906
Aqu2.1.14700_001	0	0	0.028816973	0	0	0
Aqu2.1.14701_001	0	0	0.08335279	0.381010509	0.839751179	2.966831731
Aqu2.1.14702_001	1.697400597	0.433590934	0.842824103	2.46113157	8.757236869	35.7869624
Aqu2.1.14703_001	0	0	0	0	0	0.21631918
Aqu2.1.14704_001	0	0	0	0	0	0.058541648
Aqu2.1.14705_001	0	0.094421083	0.039870067	0.104177253	0.649216071	1.446574803
Aqu2.1.14706_001	0	0	0.051942034	0.212488862	0.251854115	1.058749074
Aqu2.1.14707_001	0	0	0	0	0.140587415	0.439458284
Aqu2.1.14708_001	0	0	0.019469475	0.403263185	0.899786667	3.311344947
Aqu2.1.14709_001	0	0	0	0	0	0.175624944
Aqu2.1.14710_001	0	0	0.223721685	0.168515644	0.203463389	2.679061652
Aqu2.1.14712_001	0	0	0.255388835	0.596992794	0.931587739	1.712153303
Aqu2.1.14713_001	0.470506755	0	0	0.024635629	0.114359743	0
Aqu2.1.14714_001	0.400947464	0.083318294	0.17550266	0.33380265	1.526150565	2.888131657
Aqu2.1.14715_001	230.4479527	40.64980442	25.41715239	36.80759615	344.3910923	113.5410575
Aqu2.1.14716_001	5.994718656	0.991148572	0.627127895	0.144845651	2.281394544	2.547405801
Aqu2.1.14717_001	4.288294301	0.202525411	0.463123507	0.240517987	0.864996272	0.385527405
Aqu2.1.14718_001	1.629206032	1.28689116	3.879999437	18.07389927	30.77655881	5.483263041
Aqu2.1.14719_001	3.90092512	0.433590934	0.326114809	0.080901074	0.110350946	4.300501714
Aqu2.1.14720_001	5.722387915	0.649981208	0.385623218	0.390258878	0.242313668	1.186627715
Aqu2.1.14721_001	0	0	0	0	0.016125004	0.058541648
Aqu2.1.14722_001	43.55141939	18.36740799	9.859329757	7.866305081	2.857886983	15.19537223
Aqu2.1.14723_001	0.054489585	0	0	0	0	0
Aqu2.1.14724_001	0	0.166636589	0.868537597	0.42791278	0.757644079	0
Aqu2.1.14725_001	1.339073574	6.427107492	2.612932462	1.423996541	6.040370801	4.575758314
Aqu2.1.14726_001	0.364421801	1.228172911	2.029078697	1.37742372	1.054030294	1.723640812
Aqu2.1.14727_001	0.301052298	0.077748322	0.028306505	0.505829943	0	0
